"jobtitle","company","location","salary","companysize","companyrating","summary"
"Artificial Intelligence Engineer","Workbridge Associates","San Francisco, CA","$180,000 - $200,000 a year",32,40.8,"NA"
"Venture Operations Management","Samsung NEXT","Mountain View, CA","NA",nan,nan,"NA"
"Software Engineer, Compiler","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Software Engineer, YouTube","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Junior Project Manager","SmartAction","El Segundo, CA","NA",nan,nan,"NA"
"Content Developer, Artificial Intelligence","Udacity, Inc.","San Francisco, CA","NA",6,55.8,"NA"
"Scientist, Machine Learning","Charles River Analytics Inc.","Cambridge, MA","NA",nan,nan,"NA"
"Deep Learning Library Software Development Engineer","NVIDIA","Santa Clara, CA","NA",137,52.2,"NA"
"Research Scientist","Nuance","Burlington, MA","NA",269,40.2,"NA"
"Software Engineer, Image Processing, Consumer Hardware","Google","Mountain View, CA","NA",nan,52.8,"NA"
"Software Development Engineer - AWS Machine Learning Team","Amazon Corporate LLC","Seattle, WA","NA",nan,43.2,"NA"
"AI Research Scientist","Knexus Research Corp.","National Harbor, MD","NA",nan,nan,"NA"
"DevOps Engineer - Salesforce Research","Salesforce","Palo Alto, CA","NA",246,52.8,"NA"
"Computer Vision and Machine Learning Engineer","Foreground Security","Dulles, VA","NA",2,54.0,"NA"
"Research Scientist (124720)","University of West Florida","Pensacola, FL","NA",83,51.6,"NA"
"Data Scientist","Strayer University","Herndon, VA 20171","NA",360,41.4,"NA"
"Data Scientist (Artificial Intelligence & Deep Learning)","Microsoft","Redmond, WA 98052","NA",nan,52.2,"NA"
"Data Scientist - I, II, Lead","Federal Reserve Bank of Cleveland","Cleveland, OH 44114 (Downtown area)","NA",17,43.8,"NA"
"Director Operations - Global Security","Microsoft","Redmond, WA 98052","NA",nan,52.2,"NA"
"Artificial Intelligence Scientist","Beyond Limits","Glendale, CA","NA",2,54.0,"NA"
"Technical Evangelist - AI/ML Services","Amazon Web Services, Inc.","San Francisco, CA","NA",nan,43.2,"NA"
"Software Engineer","Neuralynx","Bozeman, MT 59715","NA",nan,nan,"NA"
"Machine Learning Researcher","ARM Ltd.","Austin, TX","NA",nan,nan,"NA"
"Software Engineer (Robotics)","Ava Robotics","Cambridge, MA","NA",nan,nan,"NA"
"Sr. Product Research Engineer","Align Technology Inc","San Jose, CA","NA",36,51.0,"Behind the scenes, we leverage new 3D computerized treatment simulation and artificial intelligence as well as 3D printing, complex bio-mechanics and advanced..."
"Software Engineer, Hardware/Software Co-Design","Google","Mountain View, CA","NA",nan,52.8,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
"Director of People Operations","AiCure","New York, NY","$100,000 - $140,000 a year",nan,nan,"You'll be up to speed on the most recent advances in Artificial Intelligence (Machine Learning, Computer Vision, Big Data) while solving challenging problems in..."
